Molecule                    E_HF (Eh)          E_CCSD (Eh)    E_AFQMC (Eh) E_AFQMC ERR (Eh)
ccl4                 -1875.9140350813     -1876.8901376228     -1876.93963         0.00035
cclh3                 -499.1474743101      -499.5467013833      -499.56279         0.00011
cf2                   -236.7554857438      -237.3960974233      -237.42004         0.00032
cf2cl2               -1155.8565613813     -1156.9198349099     -1156.96297         0.00024
cf4                   -435.8152947151      -436.9654296441      -437.00220         0.00024
ch2-sing               -38.9105722597       -39.0548810787       -39.05922         0.00004
ch2c                   -76.7941168943       -77.0999429207       -77.11519         0.00017
ch2clf                -598.0328460398      -598.6675388851      -598.69127         0.00015
ch2f2                 -237.9948077864      -238.6756943898      -238.69707         0.00016
ch2nh                  -94.0666390782       -94.4514846901       -94.46871         0.00019
ch3f                  -139.0941105852      -139.5405714437      -139.55426         0.00015
ch3nh2                 -95.2523859357       -95.6744207538       -95.68952         0.00012
ch3ph2                -381.5385224077      -381.9126184347      -381.92777         0.00010
ch4                    -40.2130312506       -40.4266839996       -40.43338         0.00009
chf3                  -336.9065115767      -337.8222245634      -337.85105         0.00024
cis-c2f2cl2          -1193.6882537624     -1194.8982253121     -1194.95266         0.00041
cl2                   -918.9987087921      -919.4091245674      -919.42795         0.00011
cl2o                  -993.7774339326      -994.4287093814      -994.46020         0.00030
clcn                  -551.8298289459      -552.3696295778      -552.39928         0.00032
clcof                 -671.7674882857      -672.5969130467      -672.63370         0.00032
