Molecule                    E_HF (Eh)          E_CCSD (Eh)    E_AFQMC (Eh) E_AFQMC ERR (Eh)
acetaldehyde          -152.9740077090      -153.5567233825      -153.58131         0.00024
acetic                -227.9019730840      -228.7131960128      -228.74773         0.00028
alcl                  -701.5106413431      -701.7774059209      -701.78929         0.00010
alcl3                -1620.7192366762     -1621.3899754773     -1621.42049         0.00017
alf                   -341.4703491707      -341.7898108771      -341.79974         0.00024
alf3                  -540.5936325788      -541.4205933548      -541.44496         0.00027
alh                   -242.4622786737      -242.5428191073      -242.54444         0.00004
alh3                  -243.6439579358      -243.7573976571      -243.75934         0.00003
allene                -115.9047338846      -116.4039912787      -116.42898         0.00024
b2h6                   -52.8344267728       -53.1257403773       -53.13567         0.00007
