Molecule                    E_HF (Eh)          E_CCSD (Eh)    E_AFQMC (Eh) E_AFQMC ERR (Eh)
hcof                  -212.8318275567      -213.4709242289      -213.49647         0.00033
hf                    -100.0576719960      -100.3299186264      -100.33653         0.00010
hnc                    -92.8916813250       -93.2325288891       -93.25012         0.00028
hnco                  -167.8284068185      -168.4022076899      -168.43200         0.00036
hnnn                  -163.9018279003      -164.5025032921      -164.53620         0.00037
hno                   -129.8415786934      -130.2758795844      -130.29720         0.00027
hocl                  -534.9192580214      -535.3747053965      -535.39381         0.00024
hoclo                 -609.6701820843      -610.3719744066      -610.40593         0.00036
hoclo2                -684.4744843426      -685.4166281783      -685.46498         0.00052
hocn                  -167.7889511974      -168.3657888448      -168.39271         0.00026
hof                   -174.8037605510      -175.3144414139      -175.33266         0.00018
honc                  -167.6937806535      -168.2713802019      -168.29961         0.00034
hooh                  -150.8353523475      -151.3363950498      -151.35520         0.00021
ketene                -151.7838719296      -152.3292594788      -152.35606         0.00025
methanol              -115.0887428728      -115.5299862900      -115.54555         0.00021
