Molecule         Charge     2S frozen            E_HF (Eh)          E_CCSD (Eh)       E_CCSD(T) (Eh)         E_AFQMC (Eh)     E_AFQMC ERR (Eh) 
----------------------------------------------------------------------------------------------------
acetaldehyde          0      0      3      -152.9147181809      -153.3731730905      -153.3865563606     -153.3876370000         0.0002530000 
acetic                0      0      4      -227.8110265942      -228.4494929491      -228.4674871599     -228.4687000000         0.0002220000 
alcl                  0      0     10      -701.4851989924      -701.6873723682      -701.6919384171     -701.6927230000         0.0000670000 
alcl3                 0      0     20     -1620.6514851205     -1621.1397037123     -1621.1498461136    -1621.1516060000         0.0001160000 
alf                   0      0      6      -341.4228496558      -341.6709445288      -341.6751954825     -341.6760430000         0.0002510000 
alf3                  0      0      8      -540.4549264353      -541.0794557745      -541.0882934806     -541.0901430000         0.0002730000 
alh                   0      0      5      -242.4528330406      -242.5162099257      -242.5171867279     -242.5174110000         0.0000360000 
alh3                  0      0      5      -243.6261077558      -243.6989698183      -243.7000269882     -243.7004460000         0.0000200000 
allene                0      0      3      -115.8578208228      -116.2593021699      -116.2742299325     -116.2751870000         0.0002410000 
b2h6                  0      0      2       -52.8011810622       -53.0127912790       -53.0179443133      -53.0188060000         0.0000510000 
benzene               0      0      6      -230.7050501463      -231.4845735091      -231.5187492834     -231.5232240000         0.0003450000 
beta-lactim           0      0      5      -245.7762841772      -246.5282080119      -246.5531283648     -246.5547690000         0.0002780000 
bf                    0      0      2      -124.1075318340      -124.3734613885      -124.3794189329     -124.3797260000         0.0001420000 
bf3                   0      0      4      -323.2010937786      -323.8440942413      -323.8549244586     -323.8568820000         0.0002600000 
bh                    0      0      1       -25.1295022429       -25.2024295439       -25.2036723812      -25.2041890000         0.0000540000 
bh3                   0      0      1       -26.3844593317       -26.4762393333       -26.4774778630      -26.4777780000         0.0000180000 
bhf2                  0      0      3      -224.2632438519      -224.7239395117      -224.7320027545     -224.7330810000         0.0002500000 
bn                    0      0      2       -78.9718474930       -79.1809810879       -79.1926260037      -79.2014230000         0.0003840000 
borole                0      0      5      -179.0180442114      -179.6095301751      -179.6337154818     -179.6388700000         0.0002200000 
c-hcoh                0      0      2      -113.7797618409      -114.0904451232      -114.0985243361     -114.0998650000         0.0001850000 
c-hono                0      0      3      -204.6485422925      -205.1927722882      -205.2116981960     -205.2132310000         0.0002970000 
c-n2h2                0      0      2      -109.9876009782      -110.3222265942      -110.3328913709     -110.3345660000         0.0001830000 
c2                    0      0      2       -75.5053140149       -75.7012796414       -75.7129251577      -75.7247380000         0.0004720000 
c2cl2                 0      0     12      -994.6423831989      -995.1880789306      -995.2079087615     -995.2092790000         0.0002780000 
c2cl4                 0      0     22     -1913.6939236950     -1914.5449565579     -1914.5730635518    -1914.5758760000         0.0004700000 
c2cl6                 0      0     32     -2832.6923768972     -2833.8537560058     -2833.8901148081    -2833.8934740000         0.0003740000 
c2clh                 0      0      7      -535.7309973950      -536.1352731617      -536.1504126079     -536.1509260000         0.0002390000 
c2clh3                0      0      7      -536.9514816048      -537.3712477991      -537.3841272527     -537.3851610000         0.0001610000 
c2clh5                0      0      7      -538.1429615957      -538.5788280220      -538.5890926374     -538.5900960000         0.0001270000 
c2f4                  0      0      6      -473.4417244557      -474.4477870526      -474.4714325985     -474.4739050000         0.0003230000 
c2f6                  0      0      8      -672.4133303940      -673.7950865383      -673.8235073072     -673.8266960000         0.0003960000 
c2h2                  0      0      2       -76.8179298672       -77.0809273285       -77.0914701384      -77.0917570000         0.0001950000 
c2h3f                 0      0      3      -176.8842104871      -177.3440247228      -177.3561756194     -177.3574870000         0.0002610000 
c2h4                  0      0      2       -78.0260433742       -78.3046340946       -78.3131169142      -78.3137560000         0.0001160000 
c2h5f                 0      0      3      -178.0733635951      -178.5486681268      -178.5581857261     -178.5595720000         0.0001250000 
c2h6                  0      0      2       -79.2158051594       -79.5126774341       -79.5189407199      -79.5197580000         0.0000790000 
ccl2                  0      0     11      -956.7704508030      -957.1822941554      -957.1969310036     -957.1995530000         0.0001890000 
ccl2h2                0      0     11      -958.0251588996      -958.4610620971      -958.4715165146     -958.4729010000         0.0001680000 
ccl2o                 0      0     12     -1031.7331873716     -1032.3389267879     -1032.3589018533    -1032.3605270000         0.0002490000 
ccl3h                 0      0     16     -1416.9353035741     -1417.5159054331     -1417.5314335230    -1417.5330790000         0.0001760000 
ccl4                  0      0     21     -1875.8367938043     -1876.5644562164     -1876.5856653214    -1876.5874940000         0.0002090000 
cclh3                 0      0      6      -499.1079278016      -499.4023486400      -499.4084215033     -499.4092810000         0.0000840000 
cf2                   0      0      3      -236.6735176708      -237.1707309143      -237.1828181024     -237.1847810000         0.0002230000 
cf2cl2                0      0     13     -1155.7400599366     -1156.5434178992     -1156.5625053645    -1156.5643600000         0.0002350000 
cf4                   0      0      5      -435.6652416233      -436.5434889833      -436.5600881536     -436.5618510000         0.0002640000 
ch2-sing              0      0      1       -38.8929872802       -39.0007780260       -39.0024251349      -39.0025740000         0.0000400000 
ch2c                  0      0      2       -76.7662989569       -77.0148782172       -77.0236291229      -77.0243420000         0.0001370000 
ch2clf                0      0      7      -597.9610046497      -598.4360741615      -598.4458485517     -598.4469630000         0.0001470000 
ch2f2                 0      0      3      -237.9046058645      -238.4189400927      -238.4279820828     -238.4292590000         0.0001680000 
ch2nh                 0      0      2       -94.0260012081       -94.3310461822       -94.3403812154      -94.3409280000         0.0001430000 
ch3f                  0      0      2      -139.0345805992      -139.3689142898      -139.3744304100     -139.3751400000         0.0001220000 
ch3nh2                0      0      2       -95.1996556771       -95.5209346367       -95.5272995691      -95.5280650000         0.0000850000 
ch3ph2                0      0      6      -381.4937798938      -381.7717562377      -381.7785070957     -381.7795310000         0.0000910000 
