Molecule                    E_HF (Eh)          E_CCSD (Eh)    E_AFQMC (Eh) E_AFQMC ERR (Eh)
n2o4                  -408.1989671140      -409.5428445608      -409.62575         0.00096
nccn                  -184.6505020660      -185.3131835265      -185.35572         0.00050
nh2cl                 -515.1085491818      -515.5410049254      -515.55971         0.00015
nh2f                  -155.0236334905      -155.5057425404      -155.52182         0.00017
nh2oh                 -131.0406278560      -131.5158455704      -131.53328         0.00015
nh3                    -56.2171418542       -56.4606142768       -56.46839         0.00007
o3                    -224.4269107198      -225.0894611376      -225.13596         0.00043
ocs                   -510.3390019591      -510.8874554809      -510.91972         0.00038
oxadiazole            -260.6395048721      -261.5846388861      -261.64026         0.00040
oxetane               -191.9787954878      -192.7472030538      -192.77910         0.00027
oxirane               -152.9253202583      -153.5137901207      -153.53890         0.00022
oxirene               -151.6447350061      -152.2008761565      -152.23073         0.00029
p2                    -681.4977372752      -681.7837657182      -681.80884         0.00026
p4                   -1363.0467113451     -1363.6474132697     -1363.69465         0.00036
pf3                   -639.2974628746      -640.1954612363      -640.22461         0.00023
pf5                   -838.3074320396      -839.7134145762      -839.75707         0.00028
ph3                   -342.4871308938      -342.6802691608      -342.68767         0.00006
propane               -118.3068962673      -118.8821791508      -118.90371         0.00019
propene               -117.1155161310      -117.6517072897      -117.67497         0.00022
propyne               -115.9073080637      -116.4064879125         0.00000         0.00000
