Molecule         Charge     2S frozen           E_RHF (Eh)          E_CCSD (Eh)       E_CCSD(T) (Eh)
----------------------------------------------------------------------------------------------------
acetaldehyde          0      0      3      -152.9147181809      -153.3731731986      -153.3865564988
acetic                0      0      4      -227.8110265942      -228.4494929519      -228.4674871589
alcl                  0      0     10      -701.4851989924      -701.6873723259      -701.6919383456
alcl3                 0      0     20     -1620.6514851205     -1621.1397037907     -1621.1498461946
alf                   0      0      6      -341.4228496558      -341.6709445023      -341.6751954022
alf3                  0      0      8      -540.4549264353      -541.0794558320      -541.0882935367
alh                   0      0      5      -242.4525015777      -242.5162417799      -242.5172062763
alh3                  0      0      5      -243.6261077558      -243.6989698563      -243.7000270249
allene                0      0      3      -115.8578208253      -116.2593022716      -116.2742300181
b2h6                  0      0      2       -52.8011810622       -53.0127913631       -53.0179444008
benzene               0      0      6      -230.7021216529      -231.4870207893      -231.5208770465
beta-lactim           0      0      5      -245.7762841772      -246.5282079899      -246.5531283509
bf                    0      0      2      -124.1075318340      -124.3734613613      -124.3794189213
bf3                   0      0      4      -323.2010937787      -323.8440943256      -323.8549245445
bh                    0      0      1       -25.1234403171       -25.2025390760       -25.2038006563
bh3                   0      0      1       -26.3844593317       -26.4762393238       -26.4774778548
bhf2                  0      0      3      -224.2632438519      -224.7239395635      -224.7320028320
bn                    0      0      2       -78.8881230490       -79.1771179268       -79.2059747985
borole                0      0      5      -179.0064725420      -179.6119229890      -179.6368562983
c-hcoh                0      0      2      -113.7777186307      -114.0908503141      -114.0989716599
c-hono                0      0      3      -204.6483891044      -205.1928599415      -205.2119647162
c-n2h2                0      0      2      -109.9853473187      -110.3226712640      -110.3335817351
c2                    0      0      2       -75.3868171139       -75.6989402454       -75.7264779395
c2cl2                 0      0     12      -994.6423831989      -995.1880790452      -995.2079088633
c2cl4                 0      0     22     -1913.6935772596     -1914.5453124750     -1914.5734367297
c2cl6                 0      0     32     -2832.6923768973     -2833.8537561150     -2833.8901149543
c2clh                 0      0      7      -535.7309973950      -536.1352732251      -536.1504126686
c2clh3                0      0      7      -536.9514774808      -537.3712761813      -537.3841587435
c2clh5                0      0      7      -538.1429615957      -538.5788280802      -538.5890926841
c2f4                  0      0      6      -473.4417244557      -474.4477871949      -474.4714327692
c2f6                  0      0      8      -672.4133303940      -673.7950865505      -673.8235073195
c2h2                  0      0      2       -76.8179298673       -77.0809273154       -77.0914701250
c2h3f                 0      0      3      -176.8842104871      -177.3440247149      -177.3561756122
c2h4                  0      0      2       -78.0260433742       -78.3046340881       -78.3131169217
c2h5f                 0      0      3      -178.0733635952      -178.5486680274      -178.5581855983
c2h6                  0      0      2       -79.2158051594       -79.5126774887       -79.5189407662
ccl2                  0      0     11      -956.7635594569      -957.1833233295      -957.1980743289
ccl2h2                0      0     11      -958.0251588996      -958.4610621531      -958.4715165761
ccl2o                 0      0     12     -1031.7331873718     -1032.3389269701     -1032.3589020562
ccl3h                 0      0     16     -1416.9353035741     -1417.5159055076     -1417.5314336055
ccl4                  0      0     21     -1875.8367938044     -1876.5644563732     -1876.5856654501
cclh3                 0      0      6      -499.1079278016      -499.4023487669      -499.4084216357
cf2                   0      0      3      -236.6731459071      -237.1709382320      -237.1830123316
cf2cl2                0      0     13     -1155.7400599366     -1156.5434179835     -1156.5625054459
cf4                   0      0      5      -435.6652416233      -436.5434889801      -436.5600881482
ch2-sing              0      0      1       -38.8748955673       -38.9983440064       -39.0006948350
ch2c                  0      0      2       -76.7655628298       -77.0150614862       -77.0238394438
ch2clf                0      0      7      -597.9610046497      -598.4360742606      -598.4458486721
ch2f2                 0      0      3      -237.9046058646      -238.4189401321      -238.4279821281
ch2nh                 0      0      2       -94.0259651164       -94.3311042032       -94.3404700448
ch3f                  0      0      2      -139.0345805992      -139.3689142934      -139.3744304125
ch3nh2                0      0      2       -95.1996556771       -95.5209346228       -95.5272995697
ch3ph2                0      0      6      -381.4937798938      -381.7717562449      -381.7785071257
ch4                   0      0      1       -40.1852147545       -40.3422906548       -40.3447557028
chf3                  0      0      4      -336.7860823888      -337.4822048818      -337.4950252510
cis-c2f2cl2           0      0     14     -1193.5626632035     -1194.4916277552     -1194.5175644821
cl2                   0      0     10      -918.9609353931      -919.2569519379      -919.2632424262
cl2o                  0      0     11      -993.7134274389      -994.2026311764      -994.2163017814
clcn                  0      0      7      -551.7885668531      -552.2199559554      -552.2367016930
clcof                 0      0      8      -671.6816527566      -672.3250064872      -672.3435659486
clf                   0      0      6      -558.8442447792      -559.1867639612      -559.1933722468
clf3                  0      0      8      -757.5091353977      -758.2612457004      -758.2800536498
clf5                  0      0     10      -956.1548503352      -957.3235390207      -957.3551963542
clno                  0      0      7      -588.7147516889      -589.2229047004      -589.2445102026
cloocl                0      0     12     -1068.4782780137     -1069.1643460434     -1069.1863125092
co                    0      0      2      -112.7489702114      -113.0438574206      -113.0545921059
co2                   0      0      3      -187.6506108496      -188.1296264842      -188.1476922965
cs                    0      0      6      -435.3294950590      -435.5903110240      -435.6046735498
cs2                   0      0     11      -832.9259277383      -833.3306292670      -833.3532883958
cyclobutadiene        0      0      4      -153.6413465784      -154.1779980427      -154.2013128245
cyclobutane           0      0      4      -156.0821084262      -156.6470707158      -156.6633984858
cyclobutene           0      0      4      -154.8924836051      -155.4385597596      -155.4575696090
cyclopentadiene       0      0      5      -192.7882689077      -193.4576399455      -193.4839246717
cyclopropane          0      0      3      -117.0467519827      -117.4682201925      -117.4800268846
cyclopropene          0      0      3      -115.8187786627      -116.2239052720      -116.2386898554
dioxetan2one          0      0      5      -301.4890591275      -302.2915587641      -302.3177588389
dioxetane             0      0      4      -227.7323068535      -228.3680602916      -228.3851849836
dioxirane             0      0      3      -188.6090782614      -189.1233758573      -189.1401695974
dithiotane            0      0     12      -873.0829429076      -873.6406309545      -873.6591607788
ethanol               0      0      3      -154.0652253738      -154.5412694687      -154.5513573050
f2                    0      0      2      -198.6855771321      -199.0884791852      -199.0975238319
f2co                  0      0      4      -311.6339238439      -312.3140308372      -312.3310493524
f2o                   0      0      3      -273.4635161753      -274.0556775212      -274.0716235847
fccf                  0      0      4      -274.4764742831      -275.1028883911      -275.1209754227
fno                   0      0      3      -228.6329935201      -229.1834442814      -229.2036964078
foof                  0      0      4      -348.2166274892      -349.0254081679      -349.0561756818
formamide             0      0      3      -168.9310156336      -169.4135058613      -169.4275045109
formic-anhydride      0      0      5      -301.4980793677      -302.2998055557      -302.3266102169
formic                0      0      3      -188.7668336600      -189.2656574303      -189.2797401378
furan                 0      0      5      -228.6287317956      -229.3392947380      -229.3670528131
glyoxal               0      0      4      -226.6025819685      -227.2241333472      -227.2451326283
h2                    0      0      0        -1.1245833245        -1.1480521051        -1.1480521051
h2co                  0      0      2      -113.8692106084      -114.1876064881      -114.1968859526
h2o                   0      0      1       -76.0031565137       -76.2013574157       -76.2031168346
h2s                   0      0      5      -398.6847738882      -398.8347813012      -398.8372802403
